"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"273","1563304574.302500","88.210.175.226","137.50.19.227","60","65535","0.051587000"
"274","1563304574.302512","137.50.19.227","88.210.175.226","1514","31088",""
"275","1563304574.304409","88.210.175.226","137.50.19.227","60","65535",""
"276","1563304574.306138","88.210.175.226","137.50.19.227","60","65535","0.052551000"
"277","1563304574.306150","137.50.19.227","88.210.175.226","2974","31088",""
"278","1563304574.306811","88.210.175.226","137.50.19.227","60","65535",""
"279","1563304574.309442","88.210.175.226","137.50.19.227","60","65535","0.052020000"
"280","1563304574.309453","137.50.19.227","88.210.175.226","2974","31088",""
"281","1563304574.310216","88.210.175.226","137.50.19.227","60","65535",""
"282","1563304574.312056","88.210.175.226","137.50.19.227","60","65535","0.051482000"
"283","1563304574.312069","137.50.19.227","88.210.175.226","2974","31088",""
"284","1563304574.314485","88.210.175.226","137.50.19.227","60","65535","0.052553000"
"285","1563304574.314503","137.50.19.227","88.210.175.226","2974","31088",""
"286","1563304574.315059","88.210.175.226","137.50.19.227","60","65535",""
"287","1563304574.315855","88.210.175.226","137.50.19.227","60","65535","0.050911000"
"288","1563304574.315872","137.50.19.227","88.210.175.226","2974","31088",""
"289","1563304574.318566","88.210.175.226","137.50.19.227","60","65535",""
"290","1563304574.318573","137.50.19.227","88.210.175.226","1514","31088",""
"291","1563304574.319113","88.210.175.226","137.50.19.227","60","65535","0.051076000"
"292","1563304574.320826","88.210.175.226","137.50.19.227","60","65535",""
"293","1563304574.320844","137.50.19.227","88.210.175.226","2974","31088",""
"294","1563304574.321807","88.210.175.226","137.50.19.227","60","65535","0.050763000"
"295","1563304574.321824","137.50.19.227","88.210.175.226","1514","31088",""
"296","1563304574.324286","88.210.175.226","137.50.19.227","60","65535",""
"297","1563304574.325284","88.210.175.226","137.50.19.227","60","65535","0.051687000"
"298","1563304574.325325","137.50.19.227","88.210.175.226","2974","31088",""
"299","1563304574.327266","88.210.175.226","137.50.19.227","60","65535",""
"300","1563304574.327842","88.210.175.226","137.50.19.227","60","65535","0.050704000"
"301","1563304574.327858","137.50.19.227","88.210.175.226","2974","31088",""
"302","1563304574.329436","88.210.175.226","137.50.19.227","60","65535",""
"303","1563304574.329461","137.50.19.227","88.210.175.226","1514","31088",""
"304","1563304574.330836","88.210.175.226","137.50.19.227","60","65535","0.049831000"
"305","1563304574.334152","88.210.175.226","137.50.19.227","60","65535",""
"306","1563304574.334168","137.50.19.227","88.210.175.226","2974","31088",""
"307","1563304574.334864","88.210.175.226","137.50.19.227","60","65535","0.053004000"
"308","1563304574.336161","88.210.175.226","137.50.19.227","60","65535",""
"309","1563304574.336179","137.50.19.227","88.210.175.226","2974","31088",""
"310","1563304574.337030","88.210.175.226","137.50.19.227","60","65535","0.051727000"
"311","1563304574.337041","137.50.19.227","88.210.175.226","1514","31088",""
"312","1563304574.339144","88.210.175.226","137.50.19.227","60","65535",""
"313","1563304574.339851","88.210.175.226","137.50.19.227","60","65535","0.052764000"
"314","1563304574.339868","137.50.19.227","88.210.175.226","2974","31088",""
"315","1563304574.341525","88.210.175.226","137.50.19.227","60","65535","0.051443000"
"316","1563304574.341542","137.50.19.227","88.210.175.226","2974","31088",""
"317","1563304574.343798","88.210.175.226","137.50.19.227","60","65535",""
"318","1563304574.344853","88.210.175.226","137.50.19.227","60","65535","0.052971000"
"319","1563304574.344865","137.50.19.227","88.210.175.226","2974","31088",""
"320","1563304574.347030","88.210.175.226","137.50.19.227","60","65535","0.053169000"
"321","1563304574.347816","88.210.175.226","137.50.19.227","60","65535",""
