"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"194","1563559098.206551","137.50.19.137","10.8.0.6","1398","31088",""
"195","1563559098.206569","10.8.0.6","137.50.19.137","52","65535","0.000018000"
"196","1563559098.206595","137.50.19.137","10.8.0.6","1398","31088",""
"197","1563559098.206617","137.50.19.137","10.8.0.6","1398","31088",""
"198","1563559098.206624","10.8.0.6","137.50.19.137","52","65535","0.000007000"
"199","1563559098.215251","137.50.19.137","10.8.0.6","1398","31088",""
"200","1563559098.225180","137.50.19.137","10.8.0.6","1398","31088",""
"201","1563559098.225197","10.8.0.6","137.50.19.137","52","65535","0.000017000"
"202","1563559098.257918","137.50.19.137","10.8.0.6","1398","31088",""
"203","1563559098.257980","137.50.19.137","10.8.0.6","1398","31088",""
"204","1563559098.258045","10.8.0.6","137.50.19.137","52","65535","0.000065000"
"205","1563559098.258088","137.50.19.137","10.8.0.6","1398","31088",""
"206","1563559098.258115","137.50.19.137","10.8.0.6","1398","31088",""
"207","1563559098.258124","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"208","1563559098.258145","137.50.19.137","10.8.0.6","1398","31088",""
"209","1563559098.258166","137.50.19.137","10.8.0.6","1398","31088",""
"210","1563559098.258173","10.8.0.6","137.50.19.137","52","65535","0.000007000"
"211","1563559098.258193","137.50.19.137","10.8.0.6","1398","31088",""
"212","1563559098.265584","137.50.19.137","10.8.0.6","1398","31088",""
"213","1563559098.265611","10.8.0.6","137.50.19.137","52","65535","0.000027000"
"214","1563559098.296506","137.50.19.137","10.8.0.6","1398","31088",""
"215","1563559098.296709","137.50.19.137","10.8.0.6","1398","31088",""
"216","1563559098.296730","10.8.0.6","137.50.19.137","52","65535","0.000021000"
"217","1563559098.296822","137.50.19.137","10.8.0.6","1398","31088",""
"218","1563559098.296894","137.50.19.137","10.8.0.6","1398","31088",""
"219","1563559098.296903","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"220","1563559098.296974","137.50.19.137","10.8.0.6","1398","31088",""
"221","1563559098.305586","137.50.19.137","10.8.0.6","1398","31088",""
"222","1563559098.305612","10.8.0.6","137.50.19.137","52","65535","0.000026000"
"223","1563559098.348126","137.50.19.137","10.8.0.6","1398","31088",""
"224","1563559098.348458","137.50.19.137","10.8.0.6","1398","31088",""
"225","1563559098.348486","10.8.0.6","137.50.19.137","52","65535","0.000028000"
"226","1563559098.348733","137.50.19.137","10.8.0.6","1398","31088",""
"227","1563559098.348819","137.50.19.137","10.8.0.6","1398","31088",""
"228","1563559098.348833","10.8.0.6","137.50.19.137","52","65535","0.000014000"
"229","1563559098.348901","137.50.19.137","10.8.0.6","1398","31088",""
"230","1563559098.348972","137.50.19.137","10.8.0.6","1398","31088",""
"231","1563559098.348985","10.8.0.6","137.50.19.137","52","65535","0.000013000"
"232","1563559098.349052","137.50.19.137","10.8.0.6","1398","31088",""
"233","1563559098.349121","137.50.19.137","10.8.0.6","1398","31088",""
"234","1563559098.349131","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"235","1563559098.349198","137.50.19.137","10.8.0.6","1398","31088",""
"236","1563559098.355474","137.50.19.137","10.8.0.6","1398","31088",""
"237","1563559098.355503","10.8.0.6","137.50.19.137","52","65535","0.000029000"
"238","1563559098.386678","137.50.19.137","10.8.0.6","1398","31088",""
"239","1563559098.387700","137.50.19.137","10.8.0.6","1398","31088",""
"240","1563559098.387719","10.8.0.6","137.50.19.137","52","65535","0.000019000"
"241","1563559098.395709","137.50.19.137","10.8.0.6","1398","31088",""
"242","1563559098.395861","137.50.19.137","10.8.0.6","1398","31088",""
"243","1563559098.395883","10.8.0.6","137.50.19.137","52","65535","0.000022000"
"244","1563559098.837093","137.50.19.137","10.8.0.6","1398","31088",""
"245","1563559098.837271","137.50.19.137","10.8.0.6","1398","31088",""
"246","1563559098.837296","10.8.0.6","137.50.19.137","52","65535","0.000025000"
"247","1563559098.837474","137.50.19.137","10.8.0.6","1398","31088",""
"248","1563559098.837578","137.50.19.137","10.8.0.6","1398","31088",""
"249","1563559098.837594","10.8.0.6","137.50.19.137","52","65535","0.000016000"
"250","1563559098.837676","137.50.19.137","10.8.0.6","1398","31088",""
"251","1563559098.845582","137.50.19.137","10.8.0.6","1398","31088",""
"252","1563559098.845611","10.8.0.6","137.50.19.137","52","65535","0.000029000"
"253","1563559098.888798","137.50.19.137","10.8.0.6","1398","31088",""
"254","1563559098.888954","137.50.19.137","10.8.0.6","1398","31088",""
"255","1563559098.888976","10.8.0.6","137.50.19.137","52","65535","0.000022000"
"256","1563559098.889067","137.50.19.137","10.8.0.6","1398","31088",""
"257","1563559098.890070","137.50.19.137","10.8.0.6","1398","31088",""
"258","1563559098.890086","10.8.0.6","137.50.19.137","52","65535","0.000016000"
"259","1563559098.890178","137.50.19.137","10.8.0.6","1398","31088",""
"260","1563559098.890254","137.50.19.137","10.8.0.6","1398","31088",""
"261","1563559098.890264","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"262","1563559098.890331","137.50.19.137","10.8.0.6","1398","31088",""
"263","1563559098.895487","137.50.19.137","10.8.0.6","1398","31088",""
"264","1563559098.895515","10.8.0.6","137.50.19.137","52","65535","0.000028000"
"265","1563559098.926592","137.50.19.137","10.8.0.6","1398","31088",""
"266","1563559098.926679","137.50.19.137","10.8.0.6","1398","31088",""
"267","1563559098.926689","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"268","1563559098.926717","137.50.19.137","10.8.0.6","1398","31088",""
"269","1563559098.926741","137.50.19.137","10.8.0.6","1398","31088",""
"270","1563559098.926744","10.8.0.6","137.50.19.137","52","65535","0.000003000"
"271","1563559098.926767","137.50.19.137","10.8.0.6","1398","31088",""
"272","1563559098.935377","137.50.19.137","10.8.0.6","1398","31088",""
"273","1563559098.935389","10.8.0.6","137.50.19.137","52","65535","0.000012000"
"274","1563559098.965965","137.50.19.137","10.8.0.6","1398","31088",""
"275","1563559098.977949","137.50.19.137","10.8.0.6","1398","31088",""
"276","1563559098.978005","10.8.0.6","137.50.19.137","52","65535","0.000056000"
"277","1563559098.978200","137.50.19.137","10.8.0.6","1398","31088",""
"278","1563559098.978352","137.50.19.137","10.8.0.6","1398","31088",""
"279","1563559098.978366","10.8.0.6","137.50.19.137","52","65535","0.000014000"
"280","1563559098.978434","137.50.19.137","10.8.0.6","1398","31088",""
"281","1563559098.978498","137.50.19.137","10.8.0.6","1398","31088",""
"282","1563559098.978507","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"283","1563559098.978570","137.50.19.137","10.8.0.6","1398","31088",""
"284","1563559098.978630","137.50.19.137","10.8.0.6","1398","31088",""
"285","1563559098.978639","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"286","1563559098.978697","137.50.19.137","10.8.0.6","1398","31088",""
"287","1563559099.016680","137.50.19.137","10.8.0.6","1398","31088",""
"288","1563559099.016704","10.8.0.6","137.50.19.137","52","65535","0.000024000"
"289","1563559099.016827","137.50.19.137","10.8.0.6","1398","31088",""
"290","1563559099.016904","137.50.19.137","10.8.0.6","1398","31088",""
"291","1563559099.016915","10.8.0.6","137.50.19.137","52","65535","0.000011000"
"292","1563559099.016982","137.50.19.137","10.8.0.6","1398","31088",""
"293","1563559099.017051","137.50.19.137","10.8.0.6","1398","31088",""
"294","1563559099.017060","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"295","1563559099.025573","137.50.19.137","10.8.0.6","1398","31088",""
"296","1563559099.035429","137.50.19.137","10.8.0.6","1398","31088",""
"297","1563559099.035454","10.8.0.6","137.50.19.137","52","65535","0.000025000"
"298","1563559099.055779","137.50.19.137","10.8.0.6","1398","31088",""
"299","1563559099.068630","137.50.19.137","10.8.0.6","1398","31088",""
"300","1563559099.068657","10.8.0.6","137.50.19.137","52","65535","0.000027000"
"301","1563559099.068793","137.50.19.137","10.8.0.6","1398","31088",""
"302","1563559099.068875","137.50.19.137","10.8.0.6","1398","31088",""
"303","1563559099.068887","10.8.0.6","137.50.19.137","52","65535","0.000012000"
"304","1563559099.068961","137.50.19.137","10.8.0.6","1398","31088",""
"305","1563559099.069035","137.50.19.137","10.8.0.6","1398","31088",""
"306","1563559099.069045","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"307","1563559099.069116","137.50.19.137","10.8.0.6","1398","31088",""
"308","1563559099.075381","137.50.19.137","10.8.0.6","1398","31088",""
"309","1563559099.075410","10.8.0.6","137.50.19.137","52","65535","0.000029000"
"310","1563559099.105965","137.50.19.137","10.8.0.6","1398","31088",""
"311","1563559099.160880","10.8.0.6","137.50.19.137","52","65535","0.054915000"
"312","1563559099.517454","137.50.19.137","10.8.0.6","1398","31088",""
"313","1563559099.517873","137.50.19.137","10.8.0.6","1398","31088",""
"314","1563559099.517897","10.8.0.6","137.50.19.137","52","65535","0.000024000"
"315","1563559099.518018","137.50.19.137","10.8.0.6","1398","31088",""
"316","1563559099.518102","137.50.19.137","10.8.0.6","1398","31088",""
"317","1563559099.518112","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"318","1563559099.518219","137.50.19.137","10.8.0.6","1398","31088",""
"319","1563559099.518285","137.50.19.137","10.8.0.6","1398","31088",""
"320","1563559099.518294","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"321","1563559099.525255","137.50.19.137","10.8.0.6","1398","31088",""
"322","1563559099.556302","137.50.19.137","10.8.0.6","1398","31088",""
"323","1563559099.556322","10.8.0.6","137.50.19.137","52","65535","0.000020000"
"324","1563559099.556413","137.50.19.137","10.8.0.6","1398","31088",""
"325","1563559099.565559","137.50.19.137","10.8.0.6","1398","31088",""
"326","1563559099.565576","10.8.0.6","137.50.19.137","52","65535","0.000017000"
"327","1563559099.565651","137.50.19.137","10.8.0.6","1398","31088",""
"328","1563559099.565706","137.50.19.137","10.8.0.6","1398","31088",""
"329","1563559099.565713","10.8.0.6","137.50.19.137","52","65535","0.000007000"
"330","1563559099.575479","137.50.19.137","10.8.0.6","1398","31088",""
"331","1563559099.608694","137.50.19.137","10.8.0.6","1398","31088",""
"332","1563559099.608747","10.8.0.6","137.50.19.137","52","65535","0.000053000"
"333","1563559099.608930","137.50.19.137","10.8.0.6","1398","31088",""
"334","1563559099.609014","137.50.19.137","10.8.0.6","1398","31088",""
"335","1563559099.609028","10.8.0.6","137.50.19.137","52","65535","0.000014000"
"336","1563559099.609089","137.50.19.137","10.8.0.6","1398","31088",""
"337","1563559099.609151","137.50.19.137","10.8.0.6","1398","31088",""
"338","1563559099.609159","10.8.0.6","137.50.19.137","52","65535","0.000008000"
"339","1563559099.609217","137.50.19.137","10.8.0.6","1398","31088",""
"340","1563559099.609278","137.50.19.137","10.8.0.6","1398","31088",""
"341","1563559099.609286","10.8.0.6","137.50.19.137","52","65535","0.000008000"
"342","1563559099.609344","137.50.19.137","10.8.0.6","1398","31088",""
"343","1563559099.609458","137.50.19.137","10.8.0.6","1398","31088",""
"344","1563559099.609468","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"345","1563559099.615393","137.50.19.137","10.8.0.6","1398","31088",""
"346","1563559099.646560","137.50.19.137","10.8.0.6","1398","31088",""
"347","1563559099.646581","10.8.0.6","137.50.19.137","52","65535","0.000021000"
"348","1563559099.646710","137.50.19.137","10.8.0.6","1398","31088",""
"349","1563559099.646935","137.50.19.137","10.8.0.6","1398","31088",""
"350","1563559099.646947","10.8.0.6","137.50.19.137","52","65535","0.000012000"
"351","1563559099.647008","137.50.19.137","10.8.0.6","1398","31088",""
"352","1563559099.647063","137.50.19.137","10.8.0.6","1398","31088",""
"353","1563559099.647072","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"354","1563559099.655558","137.50.19.137","10.8.0.6","1398","31088",""
"355","1563559099.655668","137.50.19.137","10.8.0.6","1398","31088",""
"356","1563559099.655685","10.8.0.6","137.50.19.137","52","65535","0.000017000"
"357","1563559099.698194","137.50.19.137","10.8.0.6","1398","31088",""
"358","1563559099.698388","137.50.19.137","10.8.0.6","1398","31088",""
"359","1563559099.698408","10.8.0.6","137.50.19.137","52","65535","0.000020000"
"360","1563559099.698484","137.50.19.137","10.8.0.6","1398","31088",""
"361","1563559099.698551","137.50.19.137","10.8.0.6","1398","31088",""
"362","1563559099.698561","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"363","1563559099.698624","137.50.19.137","10.8.0.6","1398","31088",""
"364","1563559099.698686","137.50.19.137","10.8.0.6","1398","31088",""
"365","1563559099.698695","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"366","1563559099.698754","137.50.19.137","10.8.0.6","1398","31088",""
"367","1563559099.736623","137.50.19.137","10.8.0.6","1398","31088",""
"368","1563559099.736650","10.8.0.6","137.50.19.137","52","65535","0.000027000"
"369","1563559099.736766","137.50.19.137","10.8.0.6","1398","31088",""
"370","1563559099.736838","137.50.19.137","10.8.0.6","1398","31088",""
"371","1563559099.736848","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"372","1563559099.736910","137.50.19.137","10.8.0.6","1398","31088",""
"373","1563559099.745957","137.50.19.137","10.8.0.6","1398","31088",""
"374","1563559099.745982","10.8.0.6","137.50.19.137","52","65535","0.000025000"
"375","1563559099.746113","137.50.19.137","10.8.0.6","1398","31088",""
"376","1563559099.746189","137.50.19.137","10.8.0.6","1398","31088",""
"377","1563559099.746200","10.8.0.6","137.50.19.137","52","65535","0.000011000"
"378","1563559099.746264","137.50.19.137","10.8.0.6","1398","31088",""
"379","1563559099.746329","137.50.19.137","10.8.0.6","1398","31088",""
"380","1563559099.746338","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"381","1563559099.755513","137.50.19.137","10.8.0.6","1398","31088",""
